property_name,property_listing,property_type
For Sale - 98 Nibong Residence,https://www.propertyguru.com.my/property-listing/98-nibong-residence-for-sale-by-max-lee-35010505,condominium
For Sale - Taman Leader (Leader Garden),https://www.propertyguru.com.my/property-listing/taman-leader-leader-garden-for-sale-by-max-lee-34166742,condominium
For Sale - Taman Leader (Leader Garden),https://www.propertyguru.com.my/property-listing/taman-leader-leader-garden-for-sale-by-max-lee-34166742,condominium
For Sale - Springtide Residences,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-max-lee-34667110,condominium
For Sale - Springtide Residences,https://www.propertyguru.com.my/property-listing/springtide-residences-for-sale-by-max-lee-34667110,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-34667367,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-34667367,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-34667397,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-34667397,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-34667415,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-34667415,condominium
For Sale - Taman Jubilee Phase 3,https://www.propertyguru.com.my/property-listing/taman-jubilee-phase-3-for-sale-by-max-lee-34667606,condominium
For Sale - Taman Jubilee Phase 3,https://www.propertyguru.com.my/property-listing/taman-jubilee-phase-3-for-sale-by-max-lee-34667606,condominium
For Sale - Gurney Paragon,https://www.propertyguru.com.my/property-listing/gurney-paragon-for-sale-by-max-lee-34166732,condominium
For Sale - Gurney Paragon,https://www.propertyguru.com.my/property-listing/gurney-paragon-for-sale-by-max-lee-34166732,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-33432516,condominium
For Sale - Meridien Residence,https://www.propertyguru.com.my/property-listing/meridien-residence-for-sale-by-max-lee-33432516,condominium
For Sale - 8 Gurney (The Shore),https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-max-lee-34491903,condominium
For Sale - 8 Gurney (The Shore),https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-max-lee-34491903,condominium
For Sale - Villa Ria,https://www.propertyguru.com.my/property-listing/villa-ria-for-sale-by-max-lee-34491762,condominium
For Sale - Villa Ria,https://www.propertyguru.com.my/property-listing/villa-ria-for-sale-by-max-lee-34491762,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010622,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010622,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010694,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010694,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010716,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010716,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010749,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35010749,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35228665,condominium
For Sale - Novus Condominium,https://www.propertyguru.com.my/property-listing/novus-condominium-for-sale-by-max-lee-35228665,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-35008779,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-35008779,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-34979620,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-34979620,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-35008848,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-35008848,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-35228653,condominium
For Sale - The Uban Residence,https://www.propertyguru.com.my/property-listing/the-uban-residence-for-sale-by-max-lee-35228653,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-34860829,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-34860829,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-33413647,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-33413647,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-33413824,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-33413824,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-35228565,condominium
For Sale - Boulevard Condominium (BLVD),https://www.propertyguru.com.my/property-listing/boulevard-condominium-blvd-for-sale-by-max-lee-35228565,condominium
For Sale - Shineville Park Condominium,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-max-lee-33414467,condominium
For Sale - Shineville Park Condominium,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-max-lee-33414467,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33692664,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33692664,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-34167511,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-34167511,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33692644,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33692644,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33414538,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33414538,condominium
For Sale - The Light Collection III,https://www.propertyguru.com.my/property-listing/the-light-collection-iii-for-sale-by-jake-khoo-35958355,condominium
For Sale - The Light Collection III,https://www.propertyguru.com.my/property-listing/the-light-collection-iii-for-sale-by-jake-khoo-35958355,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-34330212,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-34330212,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33414781,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-max-lee-33414781,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-34166645,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-34166645,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-33571141,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-33571141,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228550,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228550,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228540,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228540,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228534,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228534,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228528,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228528,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228521,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228521,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228515,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228515,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228502,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35228502,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-34588029,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-34588029,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-34588279,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-34588279,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-33570876,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-33570876,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-33570946,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-33570946,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-33570991,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-33570991,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-34588154,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-34588154,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-35233696,condominium
For Sale - Orchard Ville,https://www.propertyguru.com.my/property-listing/orchard-ville-for-sale-by-max-lee-35233696,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-max-lee-34740019,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-max-lee-34740019,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-max-lee-35233430,condominium
For Sale - Imperial Grande,https://www.propertyguru.com.my/property-listing/imperial-grande-for-sale-by-max-lee-35233430,condominium
For Sale - Imperial Residences @ Sungai Ara,https://www.propertyguru.com.my/property-listing/imperial-residences-sungai-ara-for-sale-by-max-lee-34861085,condominium
For Sale - Imperial Residences @ Sungai Ara,https://www.propertyguru.com.my/property-listing/imperial-residences-sungai-ara-for-sale-by-max-lee-34861085,condominium
For Sale - Imperial Residences @ Sungai Ara,https://www.propertyguru.com.my/property-listing/imperial-residences-sungai-ara-for-sale-by-max-lee-34860848,condominium
For Sale - Imperial Residences @ Sungai Ara,https://www.propertyguru.com.my/property-listing/imperial-residences-sungai-ara-for-sale-by-max-lee-34860848,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-34493247,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-34493247,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-34740029,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-34740029,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-34667317,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-34667317,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233253,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233253,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233285,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233285,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233313,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233313,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233361,condominium
For Sale - One Imperial,https://www.propertyguru.com.my/property-listing/one-imperial-for-sale-by-max-lee-35233361,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33476141,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33476141,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33413162,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33413162,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-35228577,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-35228577,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-35228597,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-35228597,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-35010545,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-35010545,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-34739986,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-34739986,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33476186,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33476186,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35335128,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-max-lee-35335128,condominium
For Sale - H Residence (One Ritz Residence),https://www.propertyguru.com.my/property-listing/h-residence-one-ritz-residence-for-sale-by-max-lee-35335078,condominium
For Sale - H Residence (One Ritz Residence),https://www.propertyguru.com.my/property-listing/h-residence-one-ritz-residence-for-sale-by-max-lee-35335078,condominium
For Sale - Taman Seri Damai,https://www.propertyguru.com.my/property-listing/taman-seri-damai-for-sale-by-max-lee-35335034,condominium
For Sale - Taman Seri Damai,https://www.propertyguru.com.my/property-listing/taman-seri-damai-for-sale-by-max-lee-35335034,condominium
For Sale - Imperial Residences @ Sungai Ara,https://www.propertyguru.com.my/property-listing/imperial-residences-sungai-ara-for-sale-by-max-lee-35334935,condominium
For Sale - Imperial Residences @ Sungai Ara,https://www.propertyguru.com.my/property-listing/imperial-residences-sungai-ara-for-sale-by-max-lee-35334935,condominium
For Sale - Fiera Vista,https://www.propertyguru.com.my/property-listing/fiera-vista-for-sale-by-max-lee-35334823,condominium
For Sale - Fiera Vista,https://www.propertyguru.com.my/property-listing/fiera-vista-for-sale-by-max-lee-35334823,condominium
For Sale - Olive Tree Residences,https://www.propertyguru.com.my/property-listing/olive-tree-residences-for-sale-by-max-lee-35334778,condominium
For Sale - Olive Tree Residences,https://www.propertyguru.com.my/property-listing/olive-tree-residences-for-sale-by-max-lee-35334778,condominium
For Sale - Gardens Ville,https://www.propertyguru.com.my/property-listing/gardens-ville-for-sale-by-max-lee-35334729,condominium
For Sale - Gardens Ville,https://www.propertyguru.com.my/property-listing/gardens-ville-for-sale-by-max-lee-35334729,condominium
For Sale - Mayfair Condominium (Georgetown),https://www.propertyguru.com.my/property-listing/mayfair-condominium-georgetown-for-sale-by-max-lee-35334702,condominium
For Sale - Mayfair Condominium (Georgetown),https://www.propertyguru.com.my/property-listing/mayfair-condominium-georgetown-for-sale-by-max-lee-35334702,condominium
For Sale - Setia Sky Ville @ Jelutong Penang,https://www.propertyguru.com.my/property-listing/setia-sky-ville-jelutong-penang-for-sale-by-max-lee-35334620,condominium
For Sale - Setia Sky Ville @ Jelutong Penang,https://www.propertyguru.com.my/property-listing/setia-sky-ville-jelutong-penang-for-sale-by-max-lee-35334620,condominium
For Sale - 8 Gurney (The Shore),https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-max-lee-35334569,condominium
For Sale - 8 Gurney (The Shore),https://www.propertyguru.com.my/property-listing/8-gurney-the-shore-for-sale-by-max-lee-35334569,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33434844,condominium
For Sale - All Seasons Park,https://www.propertyguru.com.my/property-listing/all-seasons-park-for-sale-by-max-lee-33434844,condominium
For Sale - The View Condominium (Twin Towers),https://www.propertyguru.com.my/property-listing/the-view-condominium-twin-towers-for-sale-by-jake-khoo-35958336,condominium
For Sale - The View Condominium (Twin Towers),https://www.propertyguru.com.my/property-listing/the-view-condominium-twin-towers-for-sale-by-jake-khoo-35958336,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-jason-goh-35955959,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-jason-goh-35955959,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-jason-goh-35955915,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-jason-goh-35955915,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-jason-goh-35955737,condominium
For Sale - Waterside Residence,https://www.propertyguru.com.my/property-listing/waterside-residence-for-sale-by-jason-goh-35955737,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-bryan-h-ng-31015047,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-bryan-h-ng-31015047,condominium
"For Sale - Dumbar Villa, Gelugor",https://www.propertyguru.com.my/property-listing/dumbar-villa-gelugor-for-sale-by-jake-khoo-35958295,condominium
"For Sale - Dumbar Villa, Gelugor",https://www.propertyguru.com.my/property-listing/dumbar-villa-gelugor-for-sale-by-jake-khoo-35958295,condominium
For Sale - Golden Triangle Condo For Sale,https://www.propertyguru.com.my/property-listing/golden-triangle-condo-for-sale-for-sale-by-chris-teoh-35958297,condominium
For Sale - Golden Triangle Condo For Sale,https://www.propertyguru.com.my/property-listing/golden-triangle-condo-for-sale-for-sale-by-chris-teoh-35958297,condominium
"For Sale - Apartment bayu tiara, bayan lepas, penang",https://www.propertyguru.com.my/property-listing/apartment-bayu-tiara-bayan-lepas-penang-for-sale-by-azura-ghani-35958278,condominium
"For Sale - Apartment bayu tiara, bayan lepas, penang",https://www.propertyguru.com.my/property-listing/apartment-bayu-tiara-bayan-lepas-penang-for-sale-by-azura-ghani-35958278,condominium
For Sale - Skyview Residence,https://www.propertyguru.com.my/property-listing/skyview-residence-for-sale-by-jake-khoo-35958285,condominium
For Sale - Skyview Residence,https://www.propertyguru.com.my/property-listing/skyview-residence-for-sale-by-jake-khoo-35958285,condominium
For Sale - i-Santorini,https://www.propertyguru.com.my/property-listing/i-santorini-for-sale-by-cy-ong-35520915,condominium
For Sale - i-Santorini,https://www.propertyguru.com.my/property-listing/i-santorini-for-sale-by-cy-ong-35520915,condominium
For Sale - The Clovers Condo For Sale,https://www.propertyguru.com.my/property-listing/the-clovers-condo-for-sale-for-sale-by-chris-teoh-35958284,condominium
For Sale - The Clovers Condo For Sale,https://www.propertyguru.com.my/property-listing/the-clovers-condo-for-sale-for-sale-by-chris-teoh-35958284,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-cy-ong-35747749,condominium
For Sale - Pine Residence,https://www.propertyguru.com.my/property-listing/pine-residence-for-sale-by-cy-ong-35747749,condominium
For Sale - Taman Evergreen,https://www.propertyguru.com.my/property-listing/taman-evergreen-for-sale-by-cy-ong-35718460,condominium
For Sale - Taman Evergreen,https://www.propertyguru.com.my/property-listing/taman-evergreen-for-sale-by-cy-ong-35718460,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-jenny-leong-35958274,condominium
For Sale - The Tamarind @ Seri Tanjung Pinang,https://www.propertyguru.com.my/property-listing/the-tamarind-seri-tanjung-pinang-for-sale-by-jenny-leong-35958274,condominium
For Sale - Vertiq,https://www.propertyguru.com.my/property-listing/vertiq-for-sale-by-jake-khoo-35958275,condominium
For Sale - Vertiq,https://www.propertyguru.com.my/property-listing/vertiq-for-sale-by-jake-khoo-35958275,condominium
For Sale - The Clovers Condo,https://www.propertyguru.com.my/property-listing/the-clovers-condo-for-sale-by-chris-teoh-35958273,condominium
For Sale - The Clovers Condo,https://www.propertyguru.com.my/property-listing/the-clovers-condo-for-sale-by-chris-teoh-35958273,condominium
"For Sale - 25/10/2022 BANK AUCTION : Orchard Ville, Lengkok Kelicap, Bayan Lepas, Penang",https://www.propertyguru.com.my/property-listing/25-10-2022-bank-auction-orchard-ville-lengkok-kelicap-bayan-lepas-penang-for-sale-by-ivan-chng-35958256,condominium
"For Sale - 25/10/2022 BANK AUCTION : Orchard Ville, Lengkok Kelicap, Bayan Lepas, Penang",https://www.propertyguru.com.my/property-listing/25-10-2022-bank-auction-orchard-ville-lengkok-kelicap-bayan-lepas-penang-for-sale-by-ivan-chng-35958256,condominium
For Sale - Vertiq,https://www.propertyguru.com.my/property-listing/vertiq-for-sale-by-jake-khoo-35958261,condominium
For Sale - Vertiq,https://www.propertyguru.com.my/property-listing/vertiq-for-sale-by-jake-khoo-35958261,condominium
For Sale - Setia Sky Vista,https://www.propertyguru.com.my/property-listing/setia-sky-vista-for-sale-by-cy-ong-35017978,condominium
For Sale - Setia Sky Vista,https://www.propertyguru.com.my/property-listing/setia-sky-vista-for-sale-by-cy-ong-35017978,condominium
For Sale - Elit Heights @ Bayan City,https://www.propertyguru.com.my/property-listing/elit-heights-bayan-city-for-sale-by-cy-ong-35823704,condominium
For Sale - Elit Heights @ Bayan City,https://www.propertyguru.com.my/property-listing/elit-heights-bayan-city-for-sale-by-cy-ong-35823704,condominium
For Sale - Triuni Residences @ The Sanctuary,https://www.propertyguru.com.my/property-listing/triuni-residences-the-sanctuary-for-sale-by-cy-ong-35823744,condominium
For Sale - Triuni Residences @ The Sanctuary,https://www.propertyguru.com.my/property-listing/triuni-residences-the-sanctuary-for-sale-by-cy-ong-35823744,condominium
For Sale - The Light Linear @ The Light Waterfront,https://www.propertyguru.com.my/property-listing/the-light-linear-the-light-waterfront-for-sale-by-jake-khoo-35958234,condominium
For Sale - The Light Linear @ The Light Waterfront,https://www.propertyguru.com.my/property-listing/the-light-linear-the-light-waterfront-for-sale-by-jake-khoo-35958234,condominium
For Sale - Villa Bunga Telang,https://www.propertyguru.com.my/property-listing/villa-bunga-telang-for-sale-by-cy-ong-35853258,condominium
For Sale - Villa Bunga Telang,https://www.propertyguru.com.my/property-listing/villa-bunga-telang-for-sale-by-cy-ong-35853258,condominium
For Sale - Reflections Condominium,https://www.propertyguru.com.my/property-listing/reflections-condominium-for-sale-by-cy-ong-34637184,condominium
For Sale - Reflections Condominium,https://www.propertyguru.com.my/property-listing/reflections-condominium-for-sale-by-cy-ong-34637184,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-bryan-h-ng-35958203,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-bryan-h-ng-35958203,condominium
For Sale - Shineville Park Condominium,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-jake-khoo-35958225,condominium
For Sale - Shineville Park Condominium,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-jake-khoo-35958225,condominium
For Sale - Arte S,https://www.propertyguru.com.my/property-listing/arte-s-for-sale-by-jake-khoo-35958211,condominium
For Sale - Arte S,https://www.propertyguru.com.my/property-listing/arte-s-for-sale-by-jake-khoo-35958211,condominium
For Sale - Goodfields Residence,https://www.propertyguru.com.my/property-listing/goodfields-residence-for-sale-by-leesa-cheah-35958193,condominium
For Sale - Goodfields Residence,https://www.propertyguru.com.my/property-listing/goodfields-residence-for-sale-by-leesa-cheah-35958193,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-bryan-h-ng-35958184,condominium
For Sale - Tropicana Bay Residences,https://www.propertyguru.com.my/property-listing/tropicana-bay-residences-for-sale-by-bryan-h-ng-35958184,condominium
For Sale - The LIGHT COLLECTION II,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-jake-khoo-35958182,condominium
For Sale - The LIGHT COLLECTION II,https://www.propertyguru.com.my/property-listing/the-light-collection-ii-for-sale-by-jake-khoo-35958182,condominium
For Sale - The Shorefront,https://www.propertyguru.com.my/property-listing/the-shorefront-for-sale-by-jake-khoo-35958168,condominium
For Sale - The Shorefront,https://www.propertyguru.com.my/property-listing/the-shorefront-for-sale-by-jake-khoo-35958168,condominium
For Sale - Taman Alor Vista,https://www.propertyguru.com.my/property-listing/taman-alor-vista-for-sale-by-dylan-lee-35958170,condominium
